code,name,aka,abbreviation
130000000,National Capital Region,NCR,NCR
140000000,Cordillera Administrative Region,CAR,CAR
010000000,Region 1,Ilocos Region,
020000000,Region 2,Cagayan Valley,
030000000,Region 3,Central Luzon,
040000000,Region 4A,CALABARZON,
170000000,MIMAROPA Region,MIMAROPA,
050000000,Region 5,Bicol Region,
060000000,Region 6,Western Visayas,
070000000,Region 7,Central Visayas,
080000000,Region 8,Eastern Visayas,
090000000,Region 9,Zamboanga Peninsula,
100000000,Region 10,Northern Mindanao,
110000000,Region 11,Davao Region,
120000000,Region 12,SOCCSKSARGEN,
150000000,Autonomous Region in Muslim Mindanao,ARMM, ARMM
160000000,Region 13,CARAGA,
